"plan_id","totalpensionliability","netpensionliability","year"
259,1.7425E+7,5.61567E+6,"2016"
259,1.84582E+7,5.27767E+6,"2017"
259,1.99446E+7,5.70935E+6,"2018"
259,2.07934E+7,5.97783E+6,"2019"
259,2.25272E+7,7.59479E+6,"2020"
259,2.32819E+7,4.36376E+6,"2021"
260,1.95654E+7,2.46113E+6,"2016"
260,2.0814E+7,1.81564E+6,"2017"
260,2.17368E+7,125427,"2018"
260,2.30005E+7,1.7383E+6,"2019"
260,2.39697E+7,2.57278E+6,"2020"
260,2.51608E+7,-2.70153E+6,"2021"
268,9.60921E+6,2.8013E+6,"2016"
268,1.0236E+7,2.66729E+6,"2017"
268,1.08374E+7,2.76218E+6,"2018"
268,1.0705E+7,2.80527E+6,"2019"
268,1.20135E+7,3.7079E+6,"2020"
268,1.23797E+7,2.09815E+6,"2021"
269,2.59673E+7,5.81278E+6,"2016"
269,2.74037E+7,4.99336E+6,"2017"
269,2.88407E+7,4.28271E+6,"2018"
269,3.05553E+7,4.47664E+6,"2019"
269,3.2031E+7,5.4108E+6,"2020"
269,3.30888E+7,2.58507E+6,"2021"
284,3.19943E+7,1.83681E+7,"2016"
284,3.52417E+7,2.0018E+7,"2017"
284,2.53451E+7,1.13787E+7,"2018"
284,2.56967E+7,9.7038E+6,"2019"
284,2.73647E+7,9.48479E+6,"2020"
284,2.73606E+7,7.37504E+6,"2021"
285,5.23549E+7,2.97739E+7,"2016"
285,5.76992E+7,3.23364E+7,"2017"
285,4.11846E+7,1.77071E+7,"2018"
285,4.21112E+7,1.49398E+7,"2019"
285,4.57922E+7,1.5118E+7,"2020"
285,4.62921E+7,1.16374E+7,"2021"
287,5.12385E+6,1.35034E+6,"2016"
287,5.39652E+6,1.11343E+6,"2017"
287,5.2286E+6,1.25721E+6,"2018"
287,5.32435E+6,731391,"2019"
287,5.71576E+6,521127,"2020"
287,5.75838E+6,-85737,"2021"
288,4.22145E+6,1.09547E+6,"2016"
288,4.37455E+6,896510,"2017"
288,4.20734E+6,1.0229E+6,"2018"
288,4.31527E+6,658844,"2019"
288,4.53976E+6,432182,"2020"
288,4.6397E+6,5971,"2021"
308,3.23107E+6,1.21941E+6,"2016"
308,3.39821E+6,1.17278E+6,"2017"
308,3.57133E+6,1.50865E+6,"2018"
308,3.71362E+6,1.45514E+6,"2019"
308,3.92323E+6,1.55655E+6,"2020"
308,4.02271E+6,1.35767E+6,"2021"
317,2.98399E+7,1.42451E+7,"2016"
317,3.06366E+7,1.35023E+7,"2017"
317,3.11109E+7,1.31641E+7,"2018"
317,3.55662E+7,1.70727E+7,"2019"
317,3.7128E+7,1.88461E+7,"2020"
317,3.7128E+7,1.88461E+7,"2021"
318,3.36167E+7,2.29629E+7,"2016"
318,3.30527E+7,2.10709E+7,"2017"
318,3.42142E+7,2.16866E+7,"2018"
318,3.60879E+7,2.28122E+7,"2019"
318,3.69711E+7,2.37216E+7,"2020"
318,3.83444E+7,2.12638E+7,"2021"
319,2.84032E+6,332669,"2016"
